WELL_NAME;DEPTH;Kp;AK_XM;GK_XM;NGK_XM;BK_XM;PL_XM;TVDSS
1108_pl;1881.800000;-999.250000;249.279999;15.045000;1.065000;-999.250000;2.643000;1342.880000
1108_pl;1881.900000;-999.250000;248.300003;14.922500;1.111000;-999.250000;2.640500;1342.980000
1108_pl;1882.000000;-999.250000;247.320007;14.800000;1.157000;-999.250000;2.638000;1343.080000
1108_pl;1882.100000;-999.250000;248.115005;14.877500;1.150000;-999.250000;2.639500;1343.180000
1108_pl;1882.200000;-999.250000;248.910004;14.955000;1.143000;-999.250000;2.641000;1343.280000
1108_pl;1882.300000;-999.250000;248.285004;15.192500;1.125000;-999.250000;2.641500;1343.380000
1108_pl;1882.400000;-999.250000;247.660004;15.430000;1.107000;-999.250000;2.642000;1343.480000
1108_pl;1882.500000;-999.250000;245.465004;15.882500;1.108000;-999.250000;2.642500;1343.580000
1108_pl;1882.600000;-999.250000;243.270004;16.334999;1.109000;-999.250000;2.643000;1343.680000
1108_pl;1882.700000;-999.250000;241.705002;16.722500;1.124000;-999.250000;2.645500;1343.780000
1108_pl;1882.800000;-999.250000;240.139999;17.110001;1.139000;-999.250000;2.648000;1343.880000
1108_pl;1882.900000;-999.250000;239.864998;17.127501;1.131500;-999.250000;2.651500;1343.980000
1108_pl;1883.000000;-999.250000;239.589996;17.145000;1.124000;-999.250000;2.655000;1344.080000
1108_pl;1883.100000;-999.250000;238.989998;16.940001;1.135500;-999.250000;2.658000;1344.180000
1108_pl;1883.200000;-999.250000;238.389999;16.735001;1.147000;-999.250000;2.661000;1344.280000
1108_pl;1883.300000;-999.250000;236.339996;16.522500;1.217500;-999.250000;2.662500;1344.380000
1108_pl;1883.400000;-999.250000;234.289993;16.309999;1.288000;-999.250000;2.664000;1344.480000
1108_pl;1883.500000;-999.250000;231.789993;16.212500;1.291500;-999.250000;2.662000;1344.580000
1108_pl;1883.600000;-999.250000;229.289993;16.115000;1.295000;-999.250000;2.660000;1344.680000
1108_pl;1883.700000;-999.250000;228.195000;16.447500;1.360500;-999.250000;2.654000;1344.780000
1108_pl;1883.800000;-999.250000;227.100006;16.780001;1.426000;-999.250000;2.648000;1344.880000
1108_pl;1883.900000;-999.250000;227.520004;17.525001;1.408500;-999.250000;2.640000;1344.980000
1108_pl;1884.000000;-999.250000;227.940002;18.270000;1.391000;-999.250000;2.632000;1345.080000
1108_pl;1884.100000;-999.250000;229.215004;19.265000;1.303500;-999.250000;2.627000;1345.180000
1108_pl;1884.200000;-999.250000;230.490005;20.260000;1.216000;-999.250000;2.622000;1345.280000
1108_pl;1884.300000;-999.250000;231.045006;21.112500;1.238000;-999.250000;2.618000;1345.380000
1108_pl;1884.400000;-999.250000;231.600006;21.965000;1.260000;-999.250000;2.614000;1345.480000
1108_pl;1884.500000;-999.250000;231.800003;22.317500;1.347000;-999.250000;2.606500;1345.580000
1108_pl;1884.600000;-999.250000;232.000000;22.670000;1.434000;-999.250000;2.599000;1345.680000
1108_pl;1884.700000;-999.250000;232.495003;22.720000;1.469500;-999.250000;2.591000;1345.780000
1108_pl;1884.800000;-999.250000;232.990005;22.770000;1.505000;-999.250000;2.583000;1345.880000
1108_pl;1884.900000;-999.250000;233.639999;22.815001;1.495500;-999.250000;2.578500;1345.980000
1108_pl;1885.000000;-999.250000;234.289993;22.860001;1.486000;-999.250000;2.574000;1346.080000
1108_pl;1885.100000;-999.250000;234.474998;23.012501;1.441500;-999.250000;2.571500;1346.180000
1108_pl;1885.200000;-999.250000;234.660004;23.165001;1.397000;-999.250000;2.569000;1346.280000
1108_pl;1885.300000;-999.250000;233.810005;23.312500;1.378000;-999.250000;2.566500;1346.380000
1108_pl;1885.400000;-999.250000;232.960007;23.459999;1.359000;-999.250000;2.564000;1346.480000
1108_pl;1885.500000;-999.250000;232.060005;23.500000;1.394000;-999.250000;2.560500;1346.580000
1108_pl;1885.600000;-999.250000;231.160004;23.540001;1.429000;-999.250000;2.557000;1346.680000
1108_pl;1885.700000;-999.250000;230.495003;23.605000;1.444000;-999.250000;2.551500;1346.780000
1108_pl;1885.800000;-999.250000;229.830002;23.670000;1.459000;-999.250000;2.546000;1346.880000
1108_pl;1885.900000;-999.250000;229.525002;23.587500;1.496500;-999.250000;2.538000;1346.980000
1108_pl;1886.000000;-999.250000;229.220001;23.504999;1.534000;-999.250000;2.530000;1347.080000
1108_pl;1886.100000;-999.250000;228.820000;23.367499;1.495500;-999.250000;2.525000;1347.180000
1108_pl;1886.200000;-999.250000;228.419998;23.230000;1.457000;-999.250000;2.520000;1347.280000
1108_pl;1886.300000;-999.250000;227.379997;23.832500;1.407500;-999.250000;2.525500;1347.380000
1108_pl;1886.400000;-999.250000;226.339996;24.434999;1.358000;-999.250000;2.531000;1347.480000
1108_pl;1886.500000;-999.250000;224.154999;24.920000;1.424000;-999.250000;2.542500;1347.580000
1108_pl;1886.600000;-999.250000;221.970001;25.405001;1.490000;-999.250000;2.554000;1347.680000
1108_pl;1886.700000;-999.250000;218.580002;24.402500;1.663500;-999.250000;2.558500;1347.780000
1108_pl;1886.800000;-999.250000;215.190002;23.400000;1.837000;-999.250000;2.563000;1347.880000
1108_pl;1886.900000;-999.250000;212.645004;21.042500;2.172500;-999.250000;2.556000;1347.980000
1108_pl;1887.000000;-999.250000;210.100006;18.684999;2.508000;-999.250000;2.549000;1348.080000
1108_pl;1887.100000;-999.250000;208.215004;16.282500;2.694500;-999.250000;2.539000;1348.180000
1108_pl;1890.600000;-999.250000;221.380005;7.725000;3.705000;-999.250000;2.571000;1351.680000
1108_pl;1890.700000;-999.250000;232.725006;8.397500;3.272500;-999.250000;2.576500;1351.780000
1108_pl;1890.800000;-999.250000;244.070007;9.070000;2.840000;-999.250000;2.582000;1351.880000
1108_pl;1890.900000;-999.250000;254.654999;10.725000;2.291500;-999.250000;2.585500;1351.980000
1111_pl;1809.200000;-999.250000;240.559998;11.609000;1.325000;-999.250000;2.620000;1339.455600
1111_pl;1809.300000;-999.250000;235.784996;11.220500;1.399000;-999.250000;2.620000;1339.552400
1111_pl;1809.400000;-999.250000;231.009995;10.832000;1.473000;-999.250000;2.620000;1339.649200
1111_pl;1809.500000;-999.250000;229.639999;8.954500;1.679000;-999.250000;2.710000;1339.746000
1111_pl;1809.600000;-999.250000;228.270004;7.077000;1.885000;-999.250000;2.800000;1339.842800
1111_pl;1809.700000;-999.250000;228.495003;6.602000;2.047500;-999.250000;2.750000;1339.939600
1111_pl;1809.800000;-999.250000;228.720001;6.127000;2.210000;-999.250000;2.700000;1340.036400
1111_pl;1809.900000;-999.250000;227.599998;9.001500;2.084500;-999.250000;2.640000;1340.133200
1111_pl;1810.000000;-999.250000;226.479996;11.876000;1.959000;-999.250000;2.580000;1340.230000
1111_pl;1810.100000;-999.250000;223.884995;13.277500;1.875500;-999.250000;2.590000;1340.326800
1111_pl;1810.200000;-999.250000;221.289993;14.679000;1.792000;-999.250000;2.600000;1340.423600
1111_pl;1810.300000;-999.250000;218.129997;15.215000;1.863000;-999.250000;2.600000;1340.520400
1111_pl;1810.400000;-999.250000;214.970001;15.751000;1.934000;-999.250000;2.600000;1340.617200
1111_pl;1810.500000;-999.250000;213.459999;16.340500;2.006500;-999.250000;2.575000;1340.714000
1111_pl;1810.600000;-999.250000;211.949997;16.930000;2.079000;-999.250000;2.550000;1340.810800
1111_pl;1810.700000;-999.250000;212.555000;16.769500;1.962500;-999.250000;2.535000;1340.907600
1111_pl;1810.800000;-999.250000;213.160004;16.608999;1.846000;-999.250000;2.520000;1341.004400
1111_pl;1810.900000;-999.250000;213.415001;16.113500;1.761500;-999.250000;2.540000;1341.101200
1111_pl;1811.000000;-999.250000;213.669998;15.618000;1.677000;-999.250000;2.560000;1341.198000
1111_pl;1811.100000;-999.250000;212.784996;15.243500;1.654000;-999.250000;2.565000;1341.294800
1111_pl;1811.200000;-999.250000;211.899994;14.869000;1.631000;-999.250000;2.570000;1341.391600
1111_pl;1811.300000;-999.250000;212.659996;14.989500;1.683500;-999.250000;2.590000;1341.488400
1111_pl;1811.400000;-999.250000;213.419998;15.110000;1.736000;-999.250000;2.610000;1341.585200
1111_pl;1811.500000;-999.250000;215.900002;15.609499;1.782500;-999.250000;2.620000;1341.682000
1111_pl;1811.600000;-999.250000;218.380005;16.108999;1.829000;-999.250000;2.630000;1341.778800
1111_pl;1811.700000;-999.250000;220.315002;16.490499;1.810500;-999.250000;2.590000;1341.875600
1111_pl;1811.800000;-999.250000;222.250000;16.872000;1.792000;-999.250000;2.550000;1341.972400
1111_pl;1811.900000;-999.250000;222.375000;17.741500;1.774500;-999.250000;2.520000;1342.069200
1111_pl;1812.000000;-999.250000;222.500000;18.611000;1.757000;-999.250000;2.490000;1342.166000
1111_pl;1812.100000;-999.250000;220.644997;19.011500;1.786000;-999.250000;2.500000;1342.262800
1111_pl;1812.200000;-999.250000;218.789993;19.412001;1.815000;-999.250000;2.510000;1342.359600
1111_pl;1812.300000;-999.250000;215.750000;20.053000;1.883500;-999.250000;2.530000;1342.456400
1111_pl;1812.400000;-999.250000;212.710007;20.694000;1.952000;-999.250000;2.550000;1342.553200
1111_pl;1812.500000;-999.250000;210.905006;20.112500;2.036500;-999.250000;2.540000;1342.650000
1111_pl;1812.600000;-999.250000;209.100006;19.531000;2.121000;-999.250000;2.530000;1342.746800
1111_pl;1812.700000;-999.250000;209.420006;17.340500;2.322000;-999.250000;2.560000;1342.843600
1111_pl;1812.800000;-999.250000;209.740005;15.150000;2.523000;-999.250000;2.590000;1342.940400
1111_pl;1812.900000;-999.250000;211.445000;15.261000;2.635500;-999.250000;2.625000;1343.037200
1111_pl;1813.000000;-999.250000;213.149994;15.372000;2.748000;-999.250000;2.660000;1343.134000
1111_pl;1813.100000;-999.250000;213.584999;17.710000;2.569500;-999.250000;2.620000;1343.230800
1111_pl;1813.200000;-999.250000;214.020004;20.048000;2.391000;-999.250000;2.580000;1343.327600
1111_pl;1813.300000;-999.250000;212.035004;19.343500;2.474500;-999.250000;2.565000;1343.424400
1111_pl;1813.400000;-999.250000;210.050003;18.639000;2.558000;-999.250000;2.550000;1343.521200
1111_pl;1813.500000;-999.250000;206.785004;16.772000;2.747000;-999.250000;2.555000;1343.618000
1111_pl;1814.600000;-999.250000;211.809998;10.217000;3.084000;-999.250000;2.480000;1344.682800
1111_pl;1814.700000;-999.250000;213.284996;10.991000;2.970500;-999.250000;2.460000;1344.779600
1111_pl;1814.800000;-999.250000;214.759995;11.765000;2.857000;-999.250000;2.440000;1344.876400
1111_pl;1814.900000;-999.250000;215.344994;12.878500;2.784000;-999.250000;2.425000;1344.973200
1111_pl;1815.000000;-999.250000;215.929993;13.992000;2.711000;-999.250000;2.410000;1345.070000
1111_pl;1815.100000;-999.250000;214.109993;15.129000;2.778500;-999.250000;2.375000;1345.167000
